age	workclass	education	education-num	marital-status	occupation	relationship	race	sex	hours-per-week	native-country	income
(29.0, 39.0]	Private	Some-college	10	Divorced	Craft-repair	Other-relative	Other	Female	normal	United-States	<=50K
(19.0, 29.0]	Private	Prof-school	15	Never-married	Prof-specialty	Not-in-family	White	Male	hard	United-States	>50K
(49.0, 59.0]	State-gov	HS-grad	9	Married-civ-spouse	Other-service	Husband	White	Male	normal	United-States	<=50K
(39.0, 49.0]	State-gov	Some-college	10	Never-married	Adm-clerical	Not-in-family	White	Female	normal	United-States	<=50K
(39.0, 49.0]	Private	Bachelors	13	Married-civ-spouse	Exec-managerial	Husband	White	Male	normal	Iran	>50K
(29.0, 39.0]	Local-gov	Masters	14	Married-civ-spouse	Exec-managerial	Husband	White	Male	hard	United-States	>50K
(19.0, 29.0]	Private	HS-grad	9	Never-married	Transport-moving	Own-child	White	Male	normal	United-States	<=50K
(39.0, 49.0]	Private	Bachelors	13	Married-civ-spouse	Prof-specialty	Husband	White	Male	normal	United-States	>50K
(39.0, 49.0]	Self-emp-not-inc	HS-grad	9	Married-civ-spouse	Other-service	Wife	White	Female	less	United-States	<=50K
(19.0, 29.0]	State-gov	Assoc-acdm	12	Married-civ-spouse	Protective-serv	Husband	White	Male	normal	United-States	<=50K
(19.0, 29.0]	?	Some-college	10	Never-married	?	Own-child	White	Male	less	United-States	<=50K
(29.0, 39.0]	Private	Some-college	10	Divorced	Craft-repair	Not-in-family	White	Male	normal	United-States	<=50K
(49.0, 59.0]	Private	HS-grad	9	Married-civ-spouse	Adm-clerical	Husband	White	Male	normal	?	<=50K
(49.0, 59.0]	Private	HS-grad	9	Married-civ-spouse	Adm-clerical	Husband	White	Male	normal	United-States	>50K
(29.0, 39.0]	Private	HS-grad	9	Never-married	Other-service	Not-in-family	White	Female	normal	United-States	<=50K
(39.0, 49.0]	Private	Assoc-acdm	12	Married-civ-spouse	Tech-support	Husband	White	Male	hard	United-States	>50K
(39.0, 49.0]	Private	HS-grad	9	Married-civ-spouse	Adm-clerical	Husband	White	Male	normal	?	<=50K
(39.0, 49.0]	Private	Prof-school	15	Married-civ-spouse	Prof-specialty	Wife	White	Female	normal	United-States	>50K
(39.0, 49.0]	Private	Bachelors	13	Married-civ-spouse	Adm-clerical	Wife	Black	Female	normal	United-States	<=50K
(49.0, 59.0]	Local-gov	10th	6	Widowed	Other-service	Unmarried	Black	Female	less	United-States	<=50K
(-inf, 19.0]	Local-gov	Some-college	10	Never-married	Adm-clerical	Own-child	White	Male	normal	United-States	<=50K
(49.0, 59.0]	Private	Some-college	10	Never-married	Transport-moving	Not-in-family	White	Male	less	United-States	<=50K
(39.0, 49.0]	Self-emp-not-inc	HS-grad	9	Married-civ-spouse	Farming-fishing	Husband	Asian-Pac-Islander	Male	normal	Cambodia	>50K
(19.0, 29.0]	Private	HS-grad	9	Never-married	Other-service	Own-child	White	Female	normal	United-States	<=50K
(29.0, 39.0]	Private	HS-grad	9	Separated	Other-service	Not-in-family	White	Female	less	United-States	<=50K
(39.0, 49.0]	Private	Assoc-voc	11	Widowed	Exec-managerial	Not-in-family	White	Female	normal	United-States	<=50K
(49.0, 59.0]	Private	7th-8th	4	Divorced	Craft-repair	Not-in-family	White	Male	normal	United-States	<=50K
(29.0, 39.0]	Private	Bachelors	13	Divorced	Prof-specialty	Own-child	White	Female	normal	United-States	<=50K
(39.0, 49.0]	Private	HS-grad	9	Married-civ-spouse	Sales	Husband	White	Male	hard	United-States	<=50K
(-inf, 19.0]	Private	11th	7	Never-married	Other-service	Own-child	White	Male	less	United-States	<=50K
(49.0, 59.0]	Private	Some-college	10	Married-civ-spouse	Sales	Husband	White	Male	normal	United-States	<=50K
(19.0, 29.0]	Private	11th	7	Married-civ-spouse	Craft-repair	Husband	White	Male	normal	United-States	<=50K
(29.0, 39.0]	Self-emp-inc	Some-college	10	Married-civ-spouse	Exec-managerial	Husband	Asian-Pac-Islander	Male	busy	Thailand	>50K
(-inf, 19.0]	?	Some-college	10	Never-married	?	Own-child	White	Male	less	Canada	<=50K
(59.0, 69.0]	Private	HS-grad	9	Married-civ-spouse	Exec-managerial	Husband	White	Male	normal	United-States	>50K
(29.0, 39.0]	Private	Bachelors	13	Never-married	Prof-specialty	Not-in-family	White	Female	normal	United-States	<=50K
(29.0, 39.0]	Private	HS-grad	9	Married-civ-spouse	Craft-repair	Wife	White	Female	normal	United-States	>50K
(59.0, 69.0]	Private	HS-grad	9	Married-civ-spouse	Exec-managerial	Husband	White	Male	normal	United-States	>50K
